연번,행정동명,시설명,도로명주소,지번주소,건물층수,위도,경도,관리기관명,담당부서명,관리기관전화번호,데이터기준일자
138,화남면,중동 경로당,경상북도 영천시 화남면 사천1길 40-10,경상북도 영천시 화남면 대천리 535,1,36.0391617,128.9102219,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
139,화남면,노방마을경로당,경상북도 영천시 화남면 노방길 205,경상북도 영천시 화남면 대천리 425-3,2,36.0406891,128.9083652,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
140,화남면,대천1리 경로당,경상북도 영천시 화남면 대천1길 37,경상북도 영천시 화남면 선천리 703,2,36.0595605,128.8954598,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
141,화남면,대천2리 경로당,경상북도 영천시 화남면 대천2길 7,경상북도 영천시 화남면 선천리 1106-2,1,36.0508971,128.8950298,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
142,화남면,선천1리 경로당,경상북도 영천시 화남면 학지길 47,경상북도 영천시 화남면 선천리 1446-29,1,36.0510638,128.8899519,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
143,화남면,선천2리 경로당,경상북도 영천시 화남면 선관길 11-14,경상북도 영천시 화남면 삼창리 350,1,36.0648438,128.8909707,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
144,화남면,선천3리 경로당,경상북도 영천시 화남면 유천길 39-2,경상북도 영천시 화남면 삼창리 245,1,36.0603683,128.8910701,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
145,화남면,현고 경로당,경상북도 영천시 화남면 현고길 43,경상북도 영천시 화남면 삼창리 268-3,3,36.0608764,128.8910969,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
146,화남면,삼창2리 경로당,경상북도 영천시 화남면 천문로 1597-9,경상북도 영천시 화남면 삼창리 531-2,1,36.0687579,128.8923192,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
147,화남면,화남면 분회 경로당,경상북도 영천시 화남면 천문로 1597-12,경상북도 영천시 화남면 귀호리 681-2,1,36.0635318,128.869834,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
148,화남면,삼창3리 경로당,경상북도 영천시 화남면 한천길 52-9,경상북도 영천시 화남면 귀호리 141,1,36.0484939,128.8786338,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
149,화남면,귀호1리 경로당,경상북도 영천시 화남면 귀호1길 131,경상북도 영천시 화남면 안천리 565-7,1,36.0838103,128.8955438,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
150,화남면,귀호2리 경로당,경상북도 영천시 화남면 귀호2길 71-3,경상북도 영천시 화남면 안천리 863-1,1,36.0826472,128.8948788,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
151,화남면,안천1 경로당,경상북도 영천시 화남면 구전로 166,경상북도 영천시 화남면 안천리 1623,1,36.0898691,128.866915,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
152,화남면,안천2리 경로당,경상북도 영천시 화남면 능계2길 14,경상북도 영천시 화남면 온천리 112,1,36.0888416,128.8605445,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
153,화남면,안천3 경로당,경상북도 영천시 화남면 구전로 460,경상북도 영천시 화남면 구전리 121-3,2,36.1023182,128.8654292,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
154,화남면,온천 경로당,경상북도 영천시 화남면 온천길 46,경상북도 영천시 화남면 월곡리 642-2,1,36.1019834,128.8813235,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
155,화남면,구전 경로당,경상북도 영천시 화남면 용구길 42,경상북도 영천시 화남면 월곡리 211-1,1,36.1008062,128.8937442,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
156,화남면,용계리 경로당,경상북도 영천시 화남면 용구길 498,경상북도 영천시 자양면 성곡리 557-5,1,36.0787814,129.017906,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
157,화남면,월곡1리 경로당,경상북도 영천시 화남면 월령길 178,경상북도 영천시 자양면 용화리 296,1,36.0878852,129.0011868,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
158,화남면,월곡2리 경로당,경상북도 영천시 화남면 월곡길 244,경상북도 영천시 자양면 성곡리 산96-8,2,36.0775913,129.0189121,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
159,자양면,분회경로당,경상북도 영천시 자양면 포은로 1625-6,경상북도 영천시 자양면 신방리 961-2,1,36.0656299,129.0661538,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
160,자양면,용화리 경로당,경상북도 영천시 자양면 용화길 122,경상북도 영천시 자양면 신방리 763-8,1,36.0680249,129.0756995,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
161,자양면,성곡리 경로당,경상북도 영천시 자양면 포은로 1640,경상북도 영천시 자양면 신방리 526-1,1,36.0688613,129.0815001,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
162,자양면,신방1리 신천경로당,경상북도 영천시 자양면 신방로565,경상북도 영천시 자양면 신방리 293-1,1,36.0742688,129.0954912,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
163,자양면,신방1리 골안경로당,경상북도 영천시 자양면 신방로 660,경상북도 영천시 자양면 용산리 289,1,36.0902024,129.0358619,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
164,자양면,신방2리 부전경로당,경상북도 영천시 자양면 상신길 69,경상북도 영천시 자양면 삼귀리 242-2,1,36.0818565,129.0743813,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
165,자양면,신방2리 상신경로당,경상북도 영천시 자양면 상신길 215-5,경상북도 영천시 자양면 충효리 610,1,36.1082079,129.0670443,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
166,자양면,용산리 경로당,경상북도 영천시 자양면 원각길 55,경상북도 영천시 자양면 충효리 148,1,36.1196822,129.0590606,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
167,자양면,삼귀리 경로당,경상북도 영천시 자양면 차당실2길 20,경상북도 영천시 자양면 도일리 348-2,1,36.1102563,129.0828281,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
168,자양면,충효2리 경로당,경상북도 영천시 자양면 별빛로 1538-2,경상북도 영천시 자양면 보현리 688,1,36.1328108,129.0460228,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
169,자양면,충효3리 경로당,경상북도 영천시 자양면 내검단길 18,경상북도 영천시 자양면 보현리 1162,1,36.1353255,129.0340548,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
170,자양면,도일리 경로당,경상북도 영천시 자양면 도일길 31,경상북도 영천시 자양면 보현리 793-3,2,36.134531,129.0406705,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
171,자양면,보현1리 경로당,경상북도 영천시 자양면 별빛로 1175,경상북도 영천시 자양면 보현리 1290,1,36.1379714,129.0317762,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
172,자양면,보현2리 상기경로당,경상북도 영천시 자양면 상기길 37-8,경상북도 영천시 자양면 보현리 1743,1,36.1446868,129.0309197,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
173,자양면,보현2리 새마을경로당,경상북도 영천시 자양면 별빛로 1124,경상북도 영천시 자양면 보현리 2266,1,36.1383535,129.0160772,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
174,자양면,보현3리 송정경로당,경상북도 영천시 자양면 별빛로 1016-14,경상북도 영천시 자양면 보현리 2537,1,36.1379833,129.0057917,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
175,자양면,보현3리 절골경로당,경상북도 영천시 자양면 사곡길 75,경상북도 영천시 임고면 양항리 276-8,1,36.0097908,128.9738242,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
176,자양면,보현4리 탑전경로당,경상북도 영천시 자양면 탑전음지길 31,경상북도 영천시 임고면 양항리 559-6,2,36.0199876,128.9746264,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
177,자양면,보현4리 신기경로당,경상북도 영천시 자양면 신기마을길 18-2,경상북도 영천시 임고면 선원리 909-122,1,36.0463803,128.9782766,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
178,임고면,양항1리 경로당,경상북도 영천시 임고면 양항3길 8,경상북도 영천시 임고면 선원리 909-106,1,36.0290981,128.9743414,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
179,임고면,양항2리 경로당,경상북도 영천시 임고면 포은로 488,경상북도 영천시 임고면 덕연리 989-150,1,36.0522963,128.9885972,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
180,임고면,선원1리 경로당,경상북도 영천시 임고면 신선로 688,경상북도 영천시 임고면 삼매리 796,1,36.0599978,128.9962891,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
181,임고면,선원2리 경로당,경상북도 영천시 임고면 환구길 10,경상북도 영천시 임고면 삼매리 1259-21,1,36.053986,128.9995908,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
182,임고면,덕연리 경로당,경상북도 영천시 임고면 윗덕수길 93,경상북도 영천시 임고면 삼매리 1083-1,1,36.0738104,128.9751546,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
183,임고면,삼매1리 경로당,경상북도 영천시 임고면 삼매반곡길 3,경상북도 영천시 임고면 삼매리 234-10,1,36.0558488,129.0075736,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
184,임고면,삼매1리(석동) 경로당,경상북도 영천시 임고면 삼매매곡길 26,경상북도 영천시 임고면 평천리 611,2,36.0399077,128.9823235,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
185,임고면,삼매2리 경로당,경상북도 영천시 임고면 삼매매곡길 368,경상북도 영천시 임고면 평천리 287,1,36.0315233,128.9846138,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
186,임고면,삼매3리 경로당,경상북도 영천시 임고면 포은로 1051-24,경상북도 영천시 임고면 평천리 366-21,1,36.0401865,128.9854641,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
187,임고면,평천1리 경로당,경상북도 영천시 임고면 평천다산길 30-6,경상북도 영천시 임고면 평천리 614-2,1,36.04020455,128.98212,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
188,임고면,평천2리 경로당,경상북도 영천시 임고면 평천신촌길 77,경상북도 영천시 임고면 양평리 173,1,36.0218463,128.9816688,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
189,임고면,평천리 3리 경로당,경상북도 영천시 임고면 평천다산길 53-34,경상북도 영천시 임고면 황강리 290,1,36.0257138,128.9933587,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
190,임고면,양평1리 경로당,경상북도 영천시 임고면 돌빼기길 25,경상북도 영천시 임고면 효리 863-2,1,36.0325788,129.0076011,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
191,임고면,양평2리 경로당,경상북도 영천시 임고면 수평길 26,경상북도 영천시 임고면 효리 235,1,36.037925,129.0183942,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
192,임고면,황강리 경로당,경상북도 영천시 임고면 황강길 3,경상북도 영천시 임고면 금대리 686,1,36.0449585,129.0273607,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
193,임고면,효1리 경로당,경상북도 영천시 임고면 운주로 357,경상북도 영천시 임고면 금대리 428-9,1,36.0512286,129.0311379,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
194,임고면,효2리 경로당,경상북도 영천시 임고면 운주로 473,경상북도 영천시 임고면 금대리 126-3,2,36.0495128,129.0440262,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
195,임고면,금대리(새터) 경로당,경상북도 영천시 임고면 금대1길 7-1,경상북도 영천시 임고면 사리 968-9,1,36.046037,129.0537819,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
196,임고면,금대리(본터) 경로당,경상북도 영천시 임고면 운주로 675,경상북도 영천시 임고면 사리 683,1,36.0342914,129.0700055,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
197,임고면,금대리(찜터) 경로당,경상북도 영천시 임고면 금대2길 5,경상북도 영천시 임고면 사리 415,1,36.0455705,129.0812657,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
198,임고면,사1리(담골) 경로당,경상북도 영천시 임고면 운주로 916-4,경상북도 영천시 임고면 수성리 1245-3,1,36.0580136,129.1010275,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
199,임고면,사1리(착골) 경로당,경상북도 영천시 임고면 사덕로 223,경상북도 영천시 임고면 수성리 916-5,1,36.0569364,129.1116967,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
200,임고면,사2리 경로당,경상북도 영천시 임고면 운주로 1186,경상북도 영천시 임고면 수성리 30,1,36.0536463,129.1314972,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
201,임고면,수성1리(구만) 경로당,경상북도 영천시 임고면 구만길 63,경상북도 영천시 임고면 우항리 172-2,1,36.0111098,128.9890888,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
202,임고면,수성2리(중리) 경로당,경상북도 영천시 임고면 운주로 1546-4,경상북도 영천시 임고면 우항리 327-1,1,36.0079479,128.9894376,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
203,임고면,수성2리(원기) 경로당,경상북도 영천시 임고면 운주로 1741,경상북도 영천시 임고면 우항리 845-4,1,36.0148877,128.9871459,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
204,임고면,우항 경로당,경상북도 영천시 임고면 효자로 348,경상북도 영천시 임고면 매호리 728,1,35.9977749,128.9669431,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
205,임고면,우항리(연하) 경로당,경상북도 영천시 임고면 효자로 314,경상북도 영천시 임고면 매호리 117-5,1,36.0084836,128.9671947,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
206,임고면,고천리 경로당,경상북도 영천시 임고면 고천길 13,경상북도 영천시 고경면 단포리 99,2,35.9804736,128.9762316,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
207,임고면,매호1리 경로당,경상북도 영천시 임고면 매호운천길 10,경상북도 영천시 고경면 창하리 713-18,1,35.9835155,128.986032,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
208,임고면,매호2리 경로당,경상북도 영천시 임고면 맘실길 66,경상북도 영천시 고경면 창상리 225-1,1,35.9946204,128.9856644,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
209,임고면,임고면 분회 경로당,경상북도 영천시 임고면 포은로 488,경상북도 영천시 고경면 오류리 374-4,1,35.9597594,129.0266906,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
210,고경면,단포 경로당,경상북도 영천시 고경면 호국로 361-11,경상북도 영천시 고경면 용전리 744,1,35.988522,129.0168129,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
211,고경면,창하 경로당,경상북도 영천시 고경면 호국로 458,경상북도 영천시 고경면 용전리 1277,1,35.9848795,129.0272333,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
212,고경면,창상 경로당,경상북도 영천시 고경면 효자로 156,경상북도 영천시 고경면 도암리 497-1,1,35.9937191,129.0065067,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
213,고경면,오류 경로당,경상북도 영천시 고경면 거곡로 591,경상북도 영천시 고경면 도암리 130-1,2,36.0014218,129.0175641,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
214,고경면,용전1리 경로당,경상북도 영천시 고경면 추곡길 151,경상북도 영천시 고경면 상리리 252,1,36.0099821,129.034828,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
215,고경면,용전2리 경로당,경상북도 영천시 고경면 추곡길 255,경상북도 영천시 고경면 삼귀리 51,2,35.9648674,129.0672354,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
216,고경면,도암1리 경로당,경상북도 영천시 고경면 호국로 674-11,경상북도 영천시 고경면 동도리 357-3,1,35.9995262,129.0618816,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
217,고경면,도암2리 경로당,경상북도 영천시 고경면 호국로 803,경상북도 영천시 고경면 상덕리 410-2,1,36.0053311,129.0701121,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
218,고경면,상리 경로당,경상북도 영천시 고경면 배골길 93-4,경상북도 영천시 고경면 석계리 162,1,36.0024399,129.0940819,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
219,고경면,삼귀 경로당,경상북도 영천시 고경면 차당실2길 20,경상북도 영천시 고경면 덕암리 230,1,35.987455,129.0918634,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
220,고경면,동도 경로당,경상북도 영천시 고경면 동도길 53,경상북도 영천시 고경면 전사리 301,1,35.9952659,129.0448491,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
221,고경면,상덕 경로당,경상북도 영천시 고경면 양달길 30,경상북도 영천시 고경면 용전리 377,1,35.9838541,129.0045339,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
222,고경면,석계 경로당,경상북도 영천시 고경면 생계길 6-9,경상북도 영천시 고경면 칠전리 84-1,1,35.9497206,129.0935729,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
223,고경면,덕암리 경로당,경상북도 영천시 고경면 심청길 20,경상북도 영천시 고경면 대성리 149,1,35.9604991,128.998204,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
224,고경면,전사2리 경로당,경상북도 영천시 고경면 백소길 66,경상북도 영천시 고경면 차당리 293-2,1,35.9832604,129.0634899,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
225,고경면,고도1리 경로당,경상북도 영천시 고경면 고도길 74,경상북도 영천시 고경면 고도리 225,1,35.9735617,129.0249844,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
226,고경면,칠전 경로당,경상북도 영천시 고경면 칠전길 114,경상북도 영천시 고경면 오룡리 877-1,1,36.0152075,129.1308721,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
227,고경면,대성리 경로당,경상북도 영천시 고경면 대죽길 6,경상북도 영천시 고경면 청정리 354-5,1,35.9862219,129.0992873,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
228,고경면,차당 경로당,경상북도 영천시 고경면 차당실로 299-21,경상북도 영천시 고경면 전사리 11,2,35.9985257,129.0542319,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
229,고경면,고도2리 경로당,경상북도 영천시 고경면 고도길 286-4,경상북도 영천시 고경면 해선리 291-2,1,36.0012401,129.0443678,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
230,고경면,오룡2리 경로당,경상북도 영천시 고경면 동사길 2,경상북도 영천시 고경면 해선리 310-1,2,36.0016774,129.0462025,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
231,고경면,청정1리 경로당,경상북도 영천시 고경면 청정길 21-15,경상북도 영천시 고경면 삼산리 275,1,35.9980876,129.0965672,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
232,고경면,전사1리 경로당,경상북도 영천시 고경면 앞새일길 15-26,경상북도 영천시 고경면 논실리 131,1,35.9389624,129.1209032,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
233,고경면,해선리 경로당,경상북도 영천시 고경면 월천길 26-72,경상북도 영천시 고경면 고도리 453,2,35.9792105,129.0015422,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
234,고경면,고경면 분회 경로당,경상북도 영천시 고경면 호국로 1065-23,경상북도 영천시 고경면 대의리 511,3,35.9702935,128.9831001,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
235,고경면,삼산 경로당,경상북도 영천시 고경면 모시밭길 66-1,경상북도 영천시 고경면 덕정리 247,1,35.9367265,129.1074919,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
236,고경면,논실 경로당,경상북도 영천시 고경면 논실길 172,경상북도 영천시 고경면 청정리 569-7,2,35.9829045,129.1051572,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
237,고경면,민도 경로당,경상북도 영천시 고경면 민도길 120,경상북도 영천시 고경면 해선리 569,1,36.0002755,129.0387839,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
238,고경면,대의리 경로당,경상북도 영천시 고경면 거곡로 137-2,경상북도 영천시 고경면 부리 173,1,35.9729617,129.0463601,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
239,고경면,덕정 경로당,경상북도 영천시 고경면 용담로 1522-17,경상북도 영천시 고경면 오룡리 1229-2,1,36.0231334,129.1247158,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
240,고경면,청정2리 경로당,경상북도 영천시 고경면 오릿길 8,경상북도 영천시 고경면 가수리 195-5,2,36.0024585,129.0802043,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
241,고경면,장척 경로당,경상북도 영천시 고경면 장재길 14,경상북도 영천시 고경면 단포리 99,2,35.9804736,128.9762316,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
242,고경면,부리 경로당,경상북도 영천시 고경면 추곡길 491,경상북도 영천시 고경면 삼포리 740-4,1,36.014676,129.1037591,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
243,고경면,오룡1리 경로당,경상북도 영천시 고경면 미룡길 23-5,경상북도 영천시 고경면 초일리 97,1,35.975097,129.0766958,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
244,고경면,가수1리 경로당,경상북도 영천시 고경면 가징계길 14-9,경상북도 영천시 고경면 창하리 1044-5,2,35.9877688,128.9812764,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
245,고경면,단포(여) 경로당,경상북도 영천시 고경면 호국로 361-11,경상북도 영천시 고경면 석계리 371-3,1,35.9970781,129.0873633,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
246,고경면,삼포 경로당,경상북도 영천시 고경면 상계로 279,경상북도 영천시 고경면 가수리 65-4,1,36.0025274,129.0874337,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
247,고경면,초일리 경로당,경상북도 영천시 고경면 초일길 342,경상북도 영천시 고경면 단포리 407-106,1,35.9821331,128.9736529,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
248,고경면,창굼 경로당,경상북도 영천시 고경면 효자로 61,경상북도 영천시 고경면 학리 188,1,36.0212599,129.0493159,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
249,고경면,동부 경로당,경상북도 영천시 고경면 호국로 1457-60,경상북도 영천시 고경면 파계리 239,1,35.961111,129.110821,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
250,고경면,가수2리 경로당,경상북도 영천시 고경면 가수길 94,경상북도 영천시 고경면 차당리 629-1,1,35.9668436,129.0665602,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
251,고경면,해피포유아파트 경로당,경상북도 영천시 고경면 방천길 30,경상북도 영천시 북안면 상리 350-1,1,35.8511993,128.9917022,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
252,고경면,학리 경로당,경상북도 영천시 고경면 배골길 311,경상북도 영천시 북안면 명주리 375,2,35.8737699,128.9969743,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
253,고경면,파계리경로당,경상북도 영천시 고경면 용담로 1809,경상북도 영천시 북안면 신대리 354,2,35.8834711,129.0033943,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
254,고경면,상차당,경상북도 영천시 고경면 차당실1길 31,경상북도 영천시 북안면 임포리 267-1,1,35.918818,129.0094825,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
255,북안면,상리 경로당,경상북도 영천시 북안면 운북로 1194,경상북도 영천시 북안면 자포리 374-1,1,35.9291445,129.0217757,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
256,북안면,원곡 경로당,경상북도 영천시 북안면 새불길 12,경상북도 영천시 북안면 송포리 775-5,1,35.9369507,128.9835504,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
257,북안면,신대리 경로당,경상북도 영천시 북안면 두리봉길 9-4,경상북도 영천시 북안면 유상리 805,1,35.9178086,128.9753469,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
258,북안면,북안면 분회 경로당,경상북도 영천시 북안면 운북로 2028-3,경상북도 영천시 북안면 당리 210-2,1,35.8607149,128.9963026,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
259,북안면,자포리 경로당,경상북도 영천시 북안면 송학길 10-2,경상북도 영천시 북안면 용계리 216,1,35.8740948,129.0043912,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
260,북안면,송포1리 경로당,경상북도 영천시 북안면 엿들길 10-8,경상북도 영천시 북안면 도유리 282,1,35.8751597,128.9837462,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
261,북안면,유상1리 경로당,경상북도 영천시 북안면 유상길 249-21,경상북도 영천시 북안면 북리 324,1,35.8624999,128.9861994,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
262,북안면,당1리 경로당,경상북도 영천시 북안면 당리길 56,경상북도 영천시 북안면 고지리 351-7,1,35.9035162,129.0123512,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
263,북안면,용계 (원당골) 경로당,경상북도 영천시 북안면 원당골길 80-1,경상북도 영천시 북안면 반정리 583-1,1,35.9339501,128.9937554,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
264,북안면,도유리 경로당,경상북도 영천시 북안면 도유길 116,경상북도 영천시 북안면 도천리 520-1,1,35.895673,129.0186625,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
265,북안면,북리 경로당,경상북도 영천시 북안면 금창로 1697,경상북도 영천시 북안면 유하리 88-1,1,35.9333138,128.9761746,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
266,북안면,고지1리 경로당,경상북도 영천시 북안면 운북로 1858,경상북도 영천시 북안면 임포리 228-1,2,35.91877,129.0121832,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
267,북안면,반정1리 경로당,경상북도 영천시 북안면 반정1길 34,경상북도 영천시 북안면 송포리 248-9,1,35.9414229,128.983761,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
268,북안면,도천1리 경로당,경상북도 영천시 북안면 연당길 1,경상북도 영천시 북안면 고지리 106-1,1,35.9090479,129.0216524,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
269,북안면,유하리 경로당,경상북도 영천시 북안면 유하큰길 76,경상북도 영천시 북안면 신리리 320-1,1,35.887893,129.0114257,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
270,북안면,임포2리 경로당,경상북도 영천시 북안면 임포역길 72,경상북도 영천시 북안면 유상리 142,1,35.908233,128.9774927,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
271,북안면,송포2리 경로당,경상북도 영천시 북안면 송포길 68,경상북도 영천시 북안면 반정리 1243-6,1,35.9282139,128.9908678,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
272,북안면,고지2리 경로당,경상북도 영천시 북안면 방산길 21,경상북도 영천시 북안면 내포리 51,1,35.9300478,129.0097106,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
273,북안면,신리리 경로당,경상북도 영천시 북안면 운북로 1671,경상북도 영천시 북안면 서당리 166,1,35.9022098,129.0024111,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
274,북안면,유상2리 경로당,경상북도 영천시 북안면 유상길 373,경상북도 영천시 북안면 용계리 424-4,1,35.8699739,129.0004159,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
275,북안면,반정2리 경로당,경상북도 영천시 북안면 반정2길 62,경상북도 영천시 북안면 옥천리 152-1,2,35.8975025,129.0098188,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
276,북안면,내포리 경로당,경상북도 영천시 북안면 개미곡길 3,경상북도 영천시 북안면 도천리 167,1,35.8973459,129.0237406,경상북도 영천시청,사회복지과,054-330-6178,2025-11-17
