회사명,소재지,대표업종,업종명,전화번호,팩스번호,종업원수,위도,경도
농업회사법인 (주)태산글로벌,경상북도 영천시 신녕면,10601,떡류 제조업 외 2 종,054-332-3003,054-332-3007,1,36.07255316,128.80475302
(주)플라넷정보통신,경상북도 영천시 대전동,26421,방송장비 제조업,054-332-3345,054-333-5322,2,35.99231605,128.91703804
그린산업,경상북도 영천시 금호읍,25112,구조용 금속 판제품 및 공작물 제조업 외 2 종,054-332-3450,054-332-3451,7,35.92147076,128.90702383
우성연사,경상북도 영천시 대창면,20501,합성섬유 제조업,054-332-3763,054-332-3764,3,35.88851007,128.88750399
형제섬유,경상북도 영천시 신녕면,13213,화학섬유직물 직조업,054-332-4139,054-332-4138,8,36.07255316,128.80475302
종동한과,경상북도 영천시 금호읍,10603,과자류 및 코코아 제품 제조업,054-332-4282,054-332-4282,9,35.92147076,128.90702383
바이오소재산업,경상북도 영천시 북안면,30399,그 외 자동차용 신품 부품 제조업 외 9 종,054-332-4338,054-332-4339,7,35.91641673,129.03259025
오성케미칼(주),경상북도 영천시 금호읍,20411,일반용 도료 및 관련제품 제조업,054-332-5568,054-332-5569,5,35.92147076,128.90702383
태광정밀기계,경상북도 영천시 채신동,31114,선박 구성 부분품 제조업,054-332-5645,054-332-5644,9,35.91357661,128.95987383
태광하이텍,경상북도 영천시 채신동,31114,선박 구성 부분품 제조업 외 2 종,054-332-5645,054-332-5644,7,35.91357661,128.95987383
(주)엘에스이피에스,경상북도 영천시 도남동,22251,폴리스티렌 발포 성형제품 제조업,054-332-6377,054-332-6380,11,35.93673831,128.93883558
(주)데쉬,경상북도 영천시 화산면,25913,자동차용 금속 압형제품 제조업,054-332-6800,054-332-6801,7,36.03702909,128.90251977
(주)영흥산업,경상북도 영천시 금노동,23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,054-332-7088,053-917-7712,10,35.94642833,128.94326126
영천석물,경상북도 영천시 도동,23919,기타 석제품 제조업,054-332-7306,,3,35.94163522,128.94027869
동부산업,경상북도 영천시 채신동,22231,"플라스틱 포대, 봉투 및 유사제품 제조업 외 1 종",054-332-7385,054-334-3143,5,35.91357661,128.95987383
(주)엠제이비전테크 영천지점,경상북도 영천시 도남동,23999,그 외 기타 분류 안된 비금속 광물제품 제조업 외 3 종,054-332-7507,054-332-7508,5,35.93673831,128.93883558
보구자동화,경상북도 영천시 청통면,29210,농업 및 임업용 기계 제조업 외 1 종,054-332-7750,054-332-7752,9,36.00912727,128.83399563
YM텍스,경상북도 영천시 대창면,13104,연사 및 가공사 제조업,054-332-7834,054-332-7835,8,35.88851007,128.88750399
(주)화진그린텍,경상북도 영천시 대창면,25944,금속선 가공제품 제조업 외 1 종,054-332-7878,054-332-8866,10,35.88851007,128.88750399
태창제약(주),경상북도 영천시 완산동,10897,건강기능식품 제조업,054-332-8482,054-332-8480,10,35.96911289,128.97115183
정수테크,경상북도 영천시 대창면,25924,절삭가공 및 유사처리업,054-332-8610,054-337-8610,7,35.88851007,128.88750399
주식회사 스틸앤정수,경상북도 영천시 대창면,25924,절삭가공 및 유사처리업,054-332-8610,054-337-8610,8,35.88851007,128.88750399
(주)대화,경상북도 영천시 대창면,30399,그 외 자동차용 신품 부품 제조업 외 3 종,054-332-8634,054-332-1442,25,35.88851007,128.88750399
동우당제약(주),경상북도 영천시 임고면,10897,건강기능식품 제조업 외 3 종,054-332-8855,054-332-8850,7,36.01669094,129.01587570
주식회사 명인산업,경상북도 영천시 임고면,30399,그 외 자동차용 신품 부품 제조업 외 3 종,054-332-9023,054-332-9025,13,36.01669094,129.01587570
온누리축산 주식회사,경상북도 영천시 도남동,10122,육류 포장육 및 냉동육 가공업 (가금류 제외),054-332-9200,054-332-9201,6,35.93673831,128.93883558
세진산업(주),경상북도 영천시 신녕면,17221,종이 포대 및 가방 제조업,054-332-9426,054-332-9426,3,36.07255316,128.80475302
주식회사 금돈바이오,경상북도 영천시 대창면,29171,산업용 냉장 및 냉동 장비 제조업 외 3 종,054-332-9683,054-331-9687,16,35.88851007,128.88750399
(주)한남 제1공장,경상북도 영천시 망정동,13300,편조원단 제조업,054-332-9700,054-332-9701,12,35.97805433,128.95399701
신한화섬(주),경상북도 영천시 망정동,13213,화학섬유직물 직조업 외 1 종,054-333-0661,054-333-0664,83,35.97805433,128.95399701
오성섬유,경상북도 영천시 망정동,13104,연사 및 가공사 제조업,054-333-0669,054-333-6637,7,35.97805433,128.95399701
태영이엔지,경상북도 영천시 채신동,25999,그 외 기타 분류 안된 금속 가공 제품 제조업,054-333-0882,054-333-0382,6,35.91357661,128.95987383
태근산업,경상북도 영천시 대창면,25112,구조용 금속 판제품 및 공작물 제조업,054-333-1002,054-333-1006,3,35.88851007,128.88750399
드림산업(주),경상북도 영천시 청통면,17221,종이 포대 및 가방 제조업,054-333-1302,,4,36.00912727,128.83399563
(주)삼성조경,경상북도 영천시 화남면,16229,기타 건축용 나무제품 제조업 외 5 종,054-333-1401,054-333-1403,15,36.11080064,128.86520597
정우오토텍(주),경상북도 영천시 대창면,30320,자동차 차체용 신품 부품 제조업,054-333-1500,054-333-1505,4,35.88851007,128.88750399
정우하이텍 주식회사,경상북도 영천시 대창면,30399,그 외 자동차용 신품 부품 제조업 외 3 종,054-333-1500,054-333-1505,10,35.88851007,128.88750399
(주)우성케미칼,경상북도 영천시 북안면,20203,혼성 및 재생 플라스틱 소재 물질 제조업,054-333-1767,054-331-5367,65,35.91641673,129.03259025
(주)우성케미칼 제3공장,경상북도 영천시 북안면,20203,혼성 및 재생 플라스틱 소재 물질 제조업 외 2 종,054-333-1767,054-331-5367,23,35.91641673,129.03259025
(주)우성케미칼(제2공장),경상북도 영천시 대창면,20203,혼성 및 재생 플라스틱 소재 물질 제조업,054-333-1767,054-331-5367,41,35.88851007,128.88750399
영천축산업협동조합 경제사업장 간이지점,경상북도 영천시 오미동,10901,반려동물용 사료 제조업 외 2 종,054-333-1801,054-334-9749,10,36.01556744,128.94930142
영천축산업협동조합 경제사업장 간이지점(2공장),경상북도 영천시 오미동,10901,반려동물용 사료 제조업 외 2 종,054-333-1801,054-334-9749,5,36.01556744,128.94930142
(주)우진농업회사법인 제1공장,경상북도 영천시 대전동,10309,기타 과실채소 가공 및 저장 처리업,054-333-1877,054-333-3531,10,35.99231605,128.91703804
(주)옴니허브,경상북도 영천시 임고면,10892,차류 가공업 외 1 종,054-333-1911,,8,36.01669094,129.01587570
(주)세원푸드,경상북도 영천시 임고면,10832,천연 및 혼합조제 조미료 제조업 외 1 종,054-333-1955,054-333-1599,8,36.01669094,129.01587570
(주)아이씨티원,경상북도 영천시 완산동,26310,컴퓨터 제조업 외 2 종,054-333-1984,054-333-1986,4,35.96911289,128.97115183
(주)동진산업,경상북도 영천시 오수동,30399,그 외 자동차용 신품 부품 제조업,054-333-1990,054-332-1990,10,35.96292926,128.91220718
(주)효정,경상북도 영천시 채신동,13219,특수 직물 및 기타 직물 직조업 외 2 종,054-333-2335,054-331-2334,3,35.91357661,128.95987383
천복정공,경상북도 영천시 금호읍,25924,절삭가공 및 유사처리업,054-333-2363,054-333-2364,6,35.92147076,128.90702383
에이스스페이스,경상북도 영천시 금호읍,25932,일반철물 제조업,054-333-3042,054-333-2967,5,35.92147076,128.90702383
성하물류,경상북도 영천시 청통면,25119,기타 구조용 금속제품 제조업,054-333-3056,,8,36.00912727,128.83399563
삼일영농조합법인,경상북도 영천시 화남면,10309,기타 과실채소 가공 및 저장 처리업,054-333-3136,054-335-3136,5,36.11080064,128.86520597
(주)오엠시스템,경상북도 영천시 대창면,32021,주방용 및 음식점용 목재가구 제조업 외 1 종,054-333-3332,054-330-3320,8,35.88851007,128.88750399
조양곡물(주),경상북도 영천시 언하동,10511,곡물 도정업,054-333-3725,054-334-8177,6,35.99327900,128.97433802
(주)대풍,경상북도 영천시 고경면,22222,설치용 및 위생용 플라스틱제품 제조업,054-333-3989,054-333-3987,11,36.00623465,129.09179185
(주)대일피앤에스,경상북도 영천시 대창면,17223,식품 위생용 종이 상자 및 용기 제조업,054-333-4600,054-338-7767,15,35.88851007,128.88750399
세왕금속공업(주),경상북도 영천시 야사동,25991,금속 캔 및 기타 포장용기 제조업,054-333-4781,054-333-4784,118,35.98603042,128.94872170
(주)진흥,경상북도 영천시 금노동,16101,일반 제재업,054-333-5000,054-334-5050,5,35.94642833,128.94326126
영남석물,경상북도 영천시 도동,23919,기타 석제품 제조업,054-333-5003,,1,35.94163522,128.94027869
버섯마을,경상북도 영천시 대전동,10832,천연 및 혼합조제 조미료 제조업 외 1 종,054-333-5361,0504-478-8213,5,35.99231605,128.91703804
동일금속(주)제3공장,경상북도 영천시 금호읍,29241,건설 및 채광용 기계장비 제조업,054-333-5501,,18,35.92147076,128.90702383
동일금속(주),경상북도 영천시 금호읍,24112,제강업 외 5 종,054-333-5501,054-336-1979,70,35.92147076,128.90702383
동일금속(주)오계공장,경상북도 영천시 금호읍,25924,절삭가공 및 유사처리업,054-333-5501,,30,35.92147076,128.90702383
(주)삼정공업,경상북도 영천시 도남동,25113,육상 금속 골조 구조재 제조업 외 5 종,054-333-5511,054-333-5512,10,35.93673831,128.93883558
(주)그린월드,경상북도 영천시 도남동,20129,기타 기초 무기 화학물질 제조업,054-333-5933,054-333-5931,10,35.93673831,128.93883558
태경산업,경상북도 영천시 금호읍,13219,특수 직물 및 기타 직물 직조업,054-333-6223,054-335-6223,8,35.92147076,128.90702383
(주)퓨어마인드컴퍼니,경상북도 영천시 완산동,10896,건강보조용 액화식품 제조업,054-333-6550,054-337-3636,6,35.96911289,128.97115183
영일공업사,경상북도 영천시 성내동,29131,액체 펌프 제조업,054-333-6718,054-0333-1818,3,35.96696832,128.92894231
효성화학,경상북도 영천시 오미동,22212,플라스틱 필름 제조업 외 1 종,054-333-7110,0504-033-5789,6,36.01556744,128.94930142
(주)정우산업,경상북도 영천시 도남동,29241,건설 및 채광용 기계장비 제조업,054-333-7201,054-333-7204,16,35.93673831,128.93883558
건창산업(주),경상북도 영천시 도남동,29241,건설 및 채광용 기계장비 제조업,054-333-7201,054-333-7204,4,35.93673831,128.93883558
금하공업(주),경상북도 영천시 금호읍,13992,부직포 및 펠트 제조업 외 4 종,054-333-7350,054-333-7351,0,35.92147076,128.90702383
대운,경상북도 영천시 금호읍,22299,그 외 기타 플라스틱 제품 제조업,054-333-7350,054-333-7351,4,35.92147076,128.90702383
혜성(주)영천지점,경상북도 영천시 망정동,13104,연사 및 가공사 제조업,054-333-7661,,20,35.97805433,128.95399701
혜성(주)영천지점,경상북도 영천시 망정동,13213,화학섬유직물 직조업,054-333-7661,054-333-7662,20,35.97805433,128.95399701
(주)한국기계,경상북도 영천시 청통면,29210,농업 및 임업용 기계 제조업,054-333-7806,054-332-7806,7,36.00912727,128.83399563
한국기계,경상북도 영천시 청통면,29210,농업 및 임업용 기계 제조업,054-333-7806,054-332-7806,1,36.00912727,128.83399563
대한정공,경상북도 영천시 임고면,29293,주형 및 금형 제조업,054-333-7994,054-333-7995,3,36.01669094,129.01587570
(주)디저트 키친 영천제1공장,경상북도 영천시 대창면,10412,식물성 유지 제조업,054-333-8033,054-333-8034,5,35.88851007,128.88750399
보현산청정약초영농조합법인,경상북도 영천시 임고면,10892,차류 가공업,054-333-8083,054-332-8084,5,36.01669094,129.01587570
(주)한영전기판금엔지니어링,경상북도 영천시 청통면,25112,구조용 금속 판제품 및 공작물 제조업,054-333-8198,054-333-8199,6,36.00912727,128.83399563
파이토지노믹스(주),경상북도 영천시 금호읍,21220,한의약품 제조업,054-333-8383,054-333-8382,7,35.92147076,128.90702383
황금석재,경상북도 영천시 도동,23911,건설용 석제품 제조업 외 1 종,054-333-8564,054-338-8901,2,35.94163522,128.94027869
세진테크,경상북도 영천시 청통면,25111,"금속 문, 창, 셔터 및 관련제품 제조업 외 3 종",054-333-8654,054-336-8654,2,36.00912727,128.83399563
동광석재·석물,경상북도 영천시 도동,23911,건설용 석제품 제조업,054-333-8675,054-333-8677,2,35.94163522,128.94027869
(주)지원에스아이,경상북도 영천시 작산동,29241,건설 및 채광용 기계장비 제조업,054-333-8800,054-332-8805,21,35.94147280,128.95942179
은광인더스트리,경상북도 영천시 금호읍,30310,자동차 엔진용 신품 부품 제조업 외 1 종,054-333-8801,054-333-8802,18,35.92147076,128.90702383
포스에코(주),경상북도 영천시 화산면,25113,육상 금속 골조 구조재 제조업 외 2 종,054-333-8883,054-333-8882,0,36.03702909,128.90251977
(주)세일,경상북도 영천시 북안면,13104,연사 및 가공사 제조업,054-333-9672,054-333-0264,11,35.91641673,129.03259025
주식회사 대정철강,경상북도 영천시 화산면,24132,강관 제조업,054-333-9700,054-333-9701,5,36.03702909,128.90251977
성일산업,경상북도 영천시 금호읍,22299,그 외 기타 플라스틱 제품 제조업 외 2 종,054-333-9931,054-333-4642,15,35.92147076,128.90702383
농업회사법인(주)코리아식품,경상북도 영천시 고경면,10129,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,054-333-9960,054-333-9961,14,36.00623465,129.09179185
한국열연(주),경상북도 영천시 화산면,28119,기타 전기 변환장치 제조업 외 1 종,054-333-9991,054-0334-6821,31,36.03702909,128.90251977
주식회사대경오앤티,경상북도 영천시 금호읍,10411,동물성 유지 제조업 외 1 종,054-334-0100,054-338-0300,16,35.92147076,128.90702383
세운섬유공업사,경상북도 영천시 녹전동,13219,특수 직물 및 기타 직물 직조업,054-334-0166,054-335-0168,9,36.00152575,128.90817065
정현테크,경상북도 영천시 금호읍,30320,자동차 차체용 신품 부품 제조업,054-334-1501,054-338-1502,5,35.92147076,128.90702383
월드허브(주),경상북도 영천시 화산면,21220,한의약품 제조업,054-334-1715,054-334-1725,4,36.03702909,128.90251977
주식회사 성강,경상북도 영천시 금호읍,29293,주형 및 금형 제조업,054-334-1749,054-334-1748,0,35.92147076,128.90702383
주식회사 에이치씨동부레미콘,경상북도 영천시 금호읍,23322,레미콘 제조업,054-334-1901,054-0334-8542,11,35.92147076,128.90702383
영흥분무기,경상북도 영천시 성내동,29210,농업 및 임업용 기계 제조업,054-334-2488,054-0334-3209,9,35.96696832,128.92894231
동서산업가스,경상북도 영천시 도남동,20121,수소 제조업 외 1 종,054-334-2600,054-334-2601,14,35.93673831,128.93883558
영천양잠농업협동조합,경상북도 영천시 고경면,10896,건강보조용 액화식품 제조업 외 3 종,054-334-2971,054-333-8673,10,36.00623465,129.09179185
(주)은하정공,경상북도 영천시 오미동,22241,운송장비 조립용 플라스틱제품 제조업 외 3 종,054-334-3039,054-334-3037,20,36.01556744,128.94930142
(주)티앤비,경상북도 영천시 대창면,16229,기타 건축용 나무제품 제조업 외 1 종,054-334-3336,054-334-7336,10,35.88851007,128.88750399
풍천산업사,경상북도 영천시 금호읍,38322,비금속류 원료 재생업,054-334-3876,054-335-4640,15,35.92147076,128.90702383
(주)유제이 테크,경상북도 영천시 청통면,29142,기어 및 동력전달장치 제조업 외 3 종,054-334-4005,054-334-4009,8,36.00912727,128.83399563
(주)큰바위콘크리트,경상북도 영천시 고경면,23324,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",054-334-4054,054-338-8123,27,36.00623465,129.09179185
농업회사법인(주)시루와방아,경상북도 영천시 임고면,10601,떡류 제조업 외 2 종,054-334-4300,054-333-5563,9,36.01669094,129.01587570
우성석재,경상북도 영천시 북안면,23919,기타 석제품 제조업,054-334-4503,054-336-4503,5,35.91641673,129.03259025
우성석재(제2공장),경상북도 영천시 북안면,23911,건설용 석제품 제조업 외 1 종,054-334-4503,054-336-4503,5,35.91641673,129.03259025
(주)세웅,경상북도 영천시 금호읍,25943,금속 스프링 제조업 외 4 종,054-334-4761,054-334-5290,10,35.92147076,128.90702383
(주)세은산업,경상북도 영천시 오미동,20202,합성수지 및 기타 플라스틱 물질 제조업 외 1 종,054-334-7088,054-332-7088,1,36.01556744,128.94930142
한국양계축산업협동조합 영천유통센터,경상북도 영천시 매산동,10899,그 외 기타 식료품 제조업,054-334-7401,054-336-0253,21,36.03173488,128.92263625
대왕전기공사,경상북도 영천시 매산동,26429,기타 무선 통신장비 제조업 외 3 종,054-334-7545,054-334-7546,2,36.03173488,128.92263625
창성섬유,경상북도 영천시 망정동,13229,기타 직물제품 제조업,054-334-8296,054-334-8297,4,35.97805433,128.95399701
(주)배터리솔루션즈,경상북도 영천시 금호읍,24213,"연 및 아연 제련, 정련 및 합금 제조업",054-334-8383,054-334-8399,80,35.92147076,128.90702383
(주)정농폴리머,경상북도 영천시 대창면,22212,플라스틱 필름 제조업,054-334-8855,,4,35.88851007,128.88750399
(주)자연수,경상북도 영천시 임고면,20422,"치약, 비누 및 기타 세제 제조업 외 2 종",054-334-8881,054-336-0091,6,36.01669094,129.01587570
(주)창언이엔지,경상북도 영천시 청통면,29163,컨베이어장치 제조업 외 2 종,054-334-9000,054-334-9060,9,36.00912727,128.83399563
(주)극동,경상북도 영천시 도남동,25113,육상 금속 골조 구조재 제조업 외 3 종,054-334-9192,053-581-4251,25,35.93673831,128.93883558
(주)극동,경상북도 영천시 도남동,25112,구조용 금속 판제품 및 공작물 제조업 외 5 종,054-334-9192,054-334-9195,5,35.93673831,128.93883558
(주)극동,경상북도 영천시 금호읍,25122,금속탱크 및 저장용기 제조업 외 5 종,054-334-9192,054-334-9195,5,35.92147076,128.90702383
영재시스템,경상북도 영천시 임고면,29172,가정용 및 산업용 공기 조화장치 제조업 외 3 종,054-334-9393,054-334-9392,5,36.01669094,129.01587570
부산수지,경상북도 영천시 오수동,38321,비금속류 해체 및 선별업 외 1 종,054-334-9652,054-334-9652,4,35.96292926,128.91220718
(주)디에스피씨알 영천2공장,경상북도 영천시 금호읍,20203,혼성 및 재생 플라스틱 소재 물질 제조업,054-335-0044,054-335-0292,10,35.92147076,128.90702383
(주)디에스피씨알 영천공장,경상북도 영천시 금호읍,20203,혼성 및 재생 플라스틱 소재 물질 제조업,054-335-0044,054-335-0292,38,35.92147076,128.90702383
대진케미칼,경상북도 영천시 신기동,20203,혼성 및 재생 플라스틱 소재 물질 제조업,054-335-0093,054-335-1578,5,36.01675118,128.95480915
(주)영인티앤씨,경상북도 영천시 청통면,30399,그 외 자동차용 신품 부품 제조업,054-335-0185,054-335-0184,3,36.00912727,128.83399563
(주)에이치디바이오텍,경상북도 영천시 북안면,23993,비금속광물 분쇄물 생산업,054-335-0270,054-335-0271,5,35.91641673,129.03259025
(주)티케이텍,경상북도 영천시 청통면,22211,"플라스틱 선, 봉, 관 및 호스 제조업",054-335-0318,054-335-2757,6,36.00912727,128.83399563
(주)금강,경상북도 영천시 북안면,30399,그 외 자동차용 신품 부품 제조업 외 3 종,054-335-0666,054-331-3391,15,35.91641673,129.03259025
(주)금강,경상북도 영천시 임고면,30310,자동차 엔진용 신품 부품 제조업 외 1 종,054-335-0666,054-337-8168,10,36.01669094,129.01587570
진풍산업(주),경상북도 영천시 도남동,24123,철강선 제조업,054-335-0700,054-335-0680,0,35.93673831,128.93883558
(주)월광금속,경상북도 영천시 대창면,24321,알루미늄주물 주조업,054-335-0707,054-335-5200,17,35.88851007,128.88750399
동도엔지니어링,경상북도 영천시 청통면,25924,절삭가공 및 유사처리업,054-335-0734,,6,36.00912727,128.83399563
우일스틸,경상북도 영천시 대창면,24132,강관 제조업,054-335-0904,054-331-1667,1,35.88851007,128.88750399
(주)디앤케이,경상북도 영천시 봉동,20422,"치약, 비누 및 기타 세제 제조업",054-335-0965,054-333-1254,8,35.93504793,128.96542779
농업회사법인 한조주식회사,경상북도 영천시 도림동,10309,기타 과실채소 가공 및 저장 처리업,054-335-1085,054-335-2044,10,36.03338272,128.95378600
신명,경상북도 영천시 청통면,17211,골판지 제조업 외 1 종,054-335-1226,054-335-1227,7,36.00912727,128.83399563
동화산업,경상북도 영천시 화산면,13104,연사 및 가공사 제조업 외 1 종,054-335-1395,054-335-1397,32,36.03702909,128.90251977
주식회사 제이더블유,경상북도 영천시 금호읍,30331,자동차용 신품 동력전달장치 제조업,054-335-1501,054-338-1501,5,35.92147076,128.90702383
평산실업,경상북도 영천시 화산면,13104,연사 및 가공사 제조업,054-335-1505,054-335-1504,14,36.03702909,128.90251977
(주)월성조경토,경상북도 영천시 임고면,20312,복합비료 및 기타 화학비료 제조업 외 1 종,054-335-1824,054-336-1824,11,36.01669094,129.01587570
(주)코람,경상북도 영천시 도남동,25941,볼트 및 너트류 제조업 외 2 종,054-335-1881,054-336-7488,19,35.93673831,128.93883558
(주)영남볼트,경상북도 영천시 봉동,25912,금속 단조제품 제조업 외 6 종,054-335-2008,0505-300-5005,8,35.93504793,128.96542779
(주)미도정보기술,경상북도 영천시 임고면,26410,유선 통신장비 제조업 외 6 종,054-335-2028,053-422-0748,4,36.01669094,129.01587570
(주)대영공업,경상북도 영천시 대창면,30399,그 외 자동차용 신품 부품 제조업 외 3 종,054-335-2555,054-336-0985,20,35.88851007,128.88750399
주식회사 영천브레인,경상북도 영천시 청통면,29210,농업 및 임업용 기계 제조업,054-335-2658,,5,36.00912727,128.83399563
(주)신영,경상북도 영천시 도남동,30320,자동차 차체용 신품 부품 제조업 외 1 종,054-335-3000,054-336-4004,60,35.93673831,128.93883558
동보씨엔에스,경상북도 영천시 청통면,13213,화학섬유직물 직조업,054-335-3101,054-338-3101,8,36.00912727,128.83399563
(주)건우환경,경상북도 영천시 녹전동,16300,코르크 및 조물제품 제조업,054-335-3131,054-764-1451,5,36.00152575,128.90817065
주식회사 케이카라반,경상북도 영천시 북안면,30203,트레일러 및 세미트레일러 제조업,054-335-3160,054-338-3160,6,35.91641673,129.03259025
우정테크,경상북도 영천시 고경면,22213,플라스틱 시트 및 판 제조업,054-335-3223,054-335-3993,5,36.00623465,129.09179185
(주)한결테크닉스,경상북도 영천시 완산동,25929,그 외 기타 금속가공업 외 4 종,054-335-3327,0303-3139-3839,5,35.96911289,128.97115183
주식회사 지승,경상북도 영천시 북안면,16102,표면 가공 목재 및 특정 목적용 제재목 제조업,054-335-3388,054-335-3387,4,35.91641673,129.03259025
주식회사 에스피그린폴,경상북도 영천시 금호읍,22251,폴리스티렌 발포 성형제품 제조업 외 1 종,054-335-3400,054-335-3401,7,35.92147076,128.90702383
대동산업,경상북도 영천시 대창면,22251,폴리스티렌 발포 성형제품 제조업 외 1 종,054-335-3452,054-335-1080,4,35.88851007,128.88750399
진양특수강(주),경상북도 영천시 채신동,24121,열간 압연 및 압출 제품 제조업 외 1 종,054-335-3500,054-335-0355,190,35.91357661,128.95987383
(주)이화이엔지,경상북도 영천시 금호읍,30399,그 외 자동차용 신품 부품 제조업 외 3 종,054-335-3540,054-335-3541,12,35.92147076,128.90702383
용라이트,경상북도 영천시 금호읍,28422,일반용 전기 조명장치 제조업,054-335-3557,054-335-3558,3,35.92147076,128.90702383
(주)대광축산,경상북도 영천시 대창면,29210,농업 및 임업용 기계 제조업,054-335-3667,054-335-3668,4,35.88851007,128.88750399
(주)애니쿡,경상북도 영천시 대창면,25992,수동식 식품 가공기기 및 금속 주방용기 제조업,054-335-3810,054-335-3811,10,35.88851007,128.88750399
장애인편의증진경북협의회,경상북도 영천시 금호읍,25112,구조용 금속 판제품 및 공작물 제조업 외 3 종,054-335-4065,054-336-3137,3,35.92147076,128.90702383
벽산창호도아,경상북도 영천시 대창면,25111,"금속 문, 창, 셔터 및 관련제품 제조업",054-335-4140,,1,35.88851007,128.88750399
(주)바스플렉스,경상북도 영천시 금호읍,27199,그 외 기타 의료용 기기 제조업,054-335-4246,054-335-4247,29,35.92147076,128.90702383
(주)진일산업,경상북도 영천시 대창면,16211,"박판, 합판 및 유사 적층판 제조업",054-335-4266,053-643-3370,6,35.88851007,128.88750399
(주)신흥,경상북도 영천시 금호읍,13213,화학섬유직물 직조업,054-335-4352,,9,35.92147076,128.90702383
(주)엔에스비,경상북도 영천시 금노동,20312,복합비료 및 기타 화학비료 제조업,054-335-4525,054-335-4524,3,35.94642833,128.94326126
대하F.R.P.산업,경상북도 영천시 임고면,22222,설치용 및 위생용 플라스틱제품 제조업,054-335-4818,054-338-4818,3,36.01669094,129.01587570
(주)비더블유지티,경상북도 영천시 도남동,25991,금속 캔 및 기타 포장용기 제조업,054-335-4882,054-335-4883,20,35.93673831,128.93883558
최강기계공업,경상북도 영천시 작산동,24119,기타 제철 및 제강업 외 6 종,054-335-4884,054-335-4883,12,35.94147280,128.95942179
(주)동양엠티 (지점),경상북도 영천시 북안면,29223,금속 절삭기계 제조업,054-335-5387,054-336-5387,5,35.91641673,129.03259025
(주)씨에스엘,경상북도 영천시 임고면,22221,벽 및 바닥 피복용 플라스틱제품 제조업,054-335-5677,053-566-9702,5,36.01669094,129.01587570
동양종합기계,경상북도 영천시 화산면,29210,농업 및 임업용 기계 제조업,054-335-5771,,2,36.03702909,128.90251977
(주)에스유엔,경상북도 영천시 청통면,30399,그 외 자동차용 신품 부품 제조업 외 1 종,054-335-5882,054-335-5889,22,36.00912727,128.83399563
(주)에스유엔 2공장,경상북도 영천시 청통면,30399,그 외 자동차용 신품 부품 제조업 외 1 종,054-335-5882,054-335-5889,5,36.00912727,128.83399563
주식회사 한백건설,경상북도 영천시 청통면,22223,플라스틱 창호 제조업,054-335-6205,054-335-6203,5,36.00912727,128.83399563
주식회사 한백글라스,경상북도 영천시 청통면,23119,기타 판유리 가공품 제조업,054-335-6205,054-335-6203,9,36.00912727,128.83399563
(주)한백창호,경상북도 영천시 청통면,22223,플라스틱 창호 제조업,054-335-6216,054-335-6214,28,36.00912727,128.83399563
주식회사 디엠아이2공장,경상북도 영천시 금호읍,20203,혼성 및 재생 플라스틱 소재 물질 제조업,054-335-6245,054-336-6245,8,35.92147076,128.90702383
중앙교재,경상북도 영천시 채신동,33209,기타 악기 및 전자 악기 제조업,054-335-6322,054-335-6323,7,35.91357661,128.95987383
(주)호정산업,경상북도 영천시 채신동,13992,부직포 및 펠트 제조업 외 1 종,054-335-6466,054-335-6467,6,35.91357661,128.95987383
(주)동일,경상북도 영천시 대창면,13103,화학섬유 방적업,054-335-6591,054-335-6592,7,35.88851007,128.88750399
(주)화산,경상북도 영천시 본촌동,25122,금속탱크 및 저장용기 제조업 외 2 종,054-335-6666,054-335-6683,37,35.92961171,128.96957999
부영연사,경상북도 영천시 청통면,13104,연사 및 가공사 제조업,054-335-6711,,4,36.00912727,128.83399563
대호산업,경상북도 영천시 대창면,29269,"기타 섬유, 의복 및 가죽 가공 기계 제조업",054-335-6722,054-335-6422,6,35.88851007,128.88750399
대호산업,경상북도 영천시 대창면,20493,접착제 및 젤라틴 제조업,054-335-6722,054-335-6422,3,35.88851007,128.88750399
(주)제이.엔.피,경상북도 영천시 대창면,13219,특수 직물 및 기타 직물 직조업 외 2 종,054-335-6856,054-335-6858,19,35.88851007,128.88750399
(주)제이앤피제2공장,경상북도 영천시 대창면,13219,특수 직물 및 기타 직물 직조업 외 2 종,054-335-6856,054-335-6858,10,35.88851007,128.88750399
리테크엔지니어링,경상북도 영천시 화산면,27213,"물질 검사, 측정 및 분석기구 제조업 외 4 종",054-335-7181,,3,36.03702909,128.90251977
(주)세운아이엔티,경상북도 영천시 대창면,23129,기타 산업용 유리제품 제조업 외 5 종,054-335-7200,054-335-7207,10,35.88851007,128.88750399
유창산업,경상북도 영천시 대창면,25113,육상 금속 골조 구조재 제조업,054-335-7791,054-335-7792,7,35.88851007,128.88750399
라온텍,경상북도 영천시 금호읍,20493,접착제 및 젤라틴 제조업,054-335-7796,054-335-7797,1,35.92147076,128.90702383
대양산업,경상북도 영천시 대창면,20203,혼성 및 재생 플라스틱 소재 물질 제조업,054-335-7797,,10,35.88851007,128.88750399
삼양연마공업(주),경상북도 영천시 봉동,23992,연마재 제조업,054-335-7840,054-335-4517,65,35.93504793,128.96542779
