순번,단지명,회사명,대표자명,공장대표주소(지번),대표업종번호,업종명,전화번호,생산품,용지면적,건축면적,위도,경도
275,,(주)옻향,"장호○,박명○",경상북도 영천시 대창면 대재리 762번지 외 1필지,20112,바이오매스계 기초 화학물질 제조업 외 5 종,050-5300-9960,"옻칠가구,정제옻,옻칠생활용품등",1905,460.86,35.88217011,128.89780847
276,,(주)용천,조도○,경상북도 영천시 임고면 매호리 921번지,13224,"천막, 텐트 및 유사 제품 제조업 외 1 종",054-336-4031,천막지,4399,1511,36.01012985,128.95970881
277,,(주)우리들판넬,김병○,경상북도 영천시 청통면 우천리 996 외 8필지,25119,기타 구조용 금속제품 제조업,054-336-7760,칼라성형간판,15512,5805.68,35.98789688,128.86309475
278,,(주)우성케미칼,박병○,경상북도 영천시 북안면 원당리 271 (주)우성케미칼 외 4필지,20203,혼성 및 재생 플라스틱 소재 물질 제조업,054-333-1767,플라스틱배합원료,10092,4313.31,,
279,,(주)우성케미칼제3공장,박병○,경상북도 영천시 북안면 송포리 416번지 외 11필지,20203,혼성 및 재생 플라스틱 소재 물질 제조업 외 2 종,054-333-1767,"플라스틱배합원료, 비닐",29677,10769.7,35.94306899,128.97555703
280,,(주)우성케미칼(제2공장),박병○,경상북도 영천시 대창면 구지리 15번지,20203,혼성 및 재생 플라스틱 소재 물질 제조업,054-333-1767,가공플라스틱배합원료,14735,4731.42,35.87284541,128.88921325
281,,(주)우영산업,황점○,경상북도 영천시 고경면 대의리 151-2번지,25112,구조용 금속 판제품 및 공작물 제조업 외 2 종,054-726-2880,"방음판,방음벽지주",4757,1816.08,35.96668859,128.99326232
282,,(주)우일산업,권수○,경상북도 영천시 대창면 사리리 518-2번지 외 1필지,23121,"1차 유리제품, 유리섬유 및 광학용 유리 제조업",054-337-8196,단열매트,3281,1084,35.88100693,128.86543798
283,,(주)우정텍스,남정○,경상북도 영천시 망정동 11-8번지 외 1필지,13213,화학섬유직물 직조업,054-337-8633,원단,6091,1780.25,35.98335268,128.95899643
284,,(주)우진농업회사법인제1공장,최진○,경상북도 영천시 대전동 299-3 외 3필지,10309,기타 과실ㆍ채소 가공 및 저장 처리업,054-333-1877,"깐마늘, 간마늘(다진마늘)",4740,1231.9,35.98447086,128.91847293
285,,(주)우진화학,이창○,금호읍 오계리 56-26,20493,접착제 및 젤라틴 제조업 외 1 종,054-337-3663,"주물도형제, 자동차용 접착제",2129,504,35.91490121,128.89035816
286,,(주)웅테크,이희○,경상북도 영천시 금호읍 오계리 46-9번지,29175,기체 여과기 제조업,054-927-1775,미듐 헤파필터 프리필터,1516,683,35.91700404,128.88586028
287,,(주)원일퍼니처제1공장,공원○,경상북도 영천시 청통면 송천리 5,32091,금속 가구 제조업 외 1 종,053-382-6696,"가구, 목재 가구, 금속 가구 제조업",3454,2305.34,35.96546576,128.82186789
288,,(주)월광금속,조재○,경상북도 영천시 대창면 사리리 478-2번지 외 2필지,24321,알루미늄주물 주조업,054-335-0707,알루미늄합금,3180,1070.66,,
289,,(주)월드케이,이형○,경상북도 영천시 금호읍 대곡리 789-2번지 태광에너지(조립식),25912,금속 단조제품 제조업 외 2 종,054-706-7062,"자동차부품(FULLY,피스톤)",4493,1204.79,35.88924863,128.91602300
290,,(주)월성조경토,정봉○,경상북도 영천시 임고면 선원리 705번지 외 3필지,20312,복합비료 및 기타 화학비료 제조업 외 1 종,054-335-1824,"조경토, 녹생토,유기질비료",12519,4376.6,36.04650780,128.96683127
291,,(주)위드,방윤○,경상북도 영천시 북안면 신대리 289번지 외 4필지 외 4필지,13104,연사 및 가공사 제조업,054-0331-7221,연사제조,52506,18914.78,35.88769966,129.00660010
292,,(주)위드조경,정광○,경상북도 영천시 화산면 암기리 1027번지 외 4필지,16101,일반 제재업 외 5 종,054-338-8112,"각재,판재,금속재울타리,운동시설물",5085,1077.4,36.01925987,128.87226588
293,,(주)윈코,이연○,경상북도 영천시 금호읍 어은리 446-3번지 외 2필지,23121,"1차 유리제품, 유리섬유 및 광학용 유리 제조업",053-856-6747,"유리섬유, 건축자재",9595,5811.21,35.91748210,128.89137004
294,,(주)윔스,강동○,경상북도 영천시 망정동 8-13번지 외 3필지,29269,"기타 섬유, 의복 및 가죽 가공 기계 제조업",054-336-1113,자동자수기,,1789.2,35.98480260,128.95991382
295,,(주)유니스포텍,이정○,경상북도 영천시 화남면 귀호리 35번지,22299,그 외 기타 플라스틱 제품 제조업,031-527-5080,인조잔디,2673,1729.3,36.05548282,128.87887297
296,,(주)유브이월드,전광○,경상북도 영천시 고경면 가수리 405-17번지,16229,기타 건축용 나무제품 제조업,054-331-5748,가구도어표면가공품,3350,1617.5,36.00228455,129.07950480
297,,(주)유성,양주○,경상북도 영천시 대창면 사리리 197-2번지 외 8필지,30399,그 외 자동차용 신품 부품 제조업,070-4334-0226,"운전석판넬,범퍼",16572,6645.38,35.87455439,128.88416087
298,,(주)유에이치에스,이준○,경상북도 영천시 금호읍 남성리 515-1 대구대학교 창업보육센터 2호관 1305호,10901,반려동물용 사료 제조업 외 1 종,,"동물용 사료, 음수첨가제",,66.138,35.90181220,128.85653977
299,,(주)유제이테크,박배○,경상북도 영천시 청통면 보성리 638-2번지,29142,기어 및 동력전달장치 제조업 외 3 종,054-334-4005,"등속조인트, 유니버설조인트",1796,982.14,35.99331297,128.83824560
300,,(주)유진텍,이유○,경상북도 영천시 봉동 806 외 1필지,25924,절삭가공 및 유사처리업 외 2 종,053-592-7722,기계부품절삭가공,,450,35.92889662,128.94652140
301,,(주)으르렁모터스,우성○,경상북도 영천시 망정동 8-11,25913,자동차용 금속 압형제품 제조업,,내연기관용 보조 터보장치,,264.46,35.98594382,128.95962050
302,,(주)은창,박희○,경상북도 영천시 고경면 해선리 85-3번지 외 4필지,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",054-336-0631,플라스틱 포대,18464,7647.86,36.00315494,129.04861053
303,,(주)은하정공,김다○,경상북도 영천시 오미동 1023-1번지 외 3필지,22241,운송장비 조립용 플라스틱제품 제조업 외 3 종,054-334-3039,"자동차부품,공업용플라스틱부품",4305,2703.55,35.99402252,128.92775074
304,,(주)은해,안소○,경상북도 영천시 청통면 송천리 645-10번지,25924,절삭가공 및 유사처리업,054-338-0093,파이프 연결구 (임가공),4305,523.24,35.98174450,128.81222942
305,,(주)이디에스,권유○,경상북도 영천시 금호읍 남성리 515-1 대구대학교 1301호,26299,그 외 기타 전자부품 제조업 외 4 종,053-852-4501,"전자부품, 스피커, 비상경보기 MCU, 데이터로거, 무선스피커",,49.338,35.90181220,128.85653977
306,,(주)이비씨코리아,이종○,경상북도 영천시 금호읍 삼호리 203-1번지 외 1필지,23993,비금속광물 분쇄물 생산업,054-337-1701,인상흑연,8952,1654.96,35.91811964,128.87967129
307,,(주)이화이엔지,고영○,경상북도 영천시 금호읍 구암리 577번지 공장 외 2필지,30399,그 외 자동차용 신품 부품 제조업 외 3 종,054-335-3540,자동차부속부분품,3072,1619,35.92568191,128.93447520
308,영천북안농공단지,(주)일신중전기,신은○,경상북도 영천시 북안면 반정리 150-16번지,28111,전동기 및 발전기 제조업 외 4 종,054-336-2198,"압축엔진, 모터",3303,1557.67,35.93295466,128.99822899
309,,(주)일신화이바,김종○,경상북도 영천시 금호읍 오계리 47-1번지,22291,플라스틱 접착처리 제품 제조업 외 1 종,054-331-2641,"코로나진단 검침봉, 플라스틱 표면가공품(플로킹제)",3290,2588.53,35.91493702,128.88864585
310,영천북안농공단지,(주)일신화이바,김종○,경상북도 영천시 북안면 반정리 150-8 (주)일신화이바북안사업장,13910,"카펫, 마루덮개 및 유사제품 제조업",054-331-2641,플로킹 카펫(바닥재),11232,6314.65,35.93347180,128.99839313
311,,(주)일투,노○,경상북도 영천시 청통면 송천리 5-4번지,32029,기타 목재가구 제조업,,일반 가구등,2304,1397.38,35.96496695,128.82139064
312,,(주)자두푸드시스템,곽혁○,경상북도 영천시 청통면 계포리 305-2번지,10220,수산식물 가공 및 저장 처리업,053-741-4540,김자반,828,270.46,35.99503928,128.80966625
313,,(주)자연수,구대○,경상북도 영천시 임고면 매호리 913,20422,"치약, 비누 및 기타 세제 제조업 외 2 종",054-334-8881,"화장비누, 샴푸, 주방세제, 티백, 환",2766,1000.26,36.00863128,128.96038578
314,,(주)전문열처리,박상○,경상북도 영천시 고경면 동도리 153번지,25921,금속 열처리업,054-336-1072,열처리철강재,1739,797.48,35.99885437,129.05640796
315,,(주)전일산업,조옥○,경상북도 영천시 금호읍 오계리 56-20번지,25112,구조용 금속 판제품 및 공작물 제조업 외 8 종,041-558-8681,"가드레일,알루미늄난간,조립식구조물, 교통안전시설물",,1507.76,35.91454470,128.88941529
316,,(주)정농폴리머,권중○,경상북도 영천시 대창면 사리리 307번지 외 3필지,22212,플라스틱 필름 제조업,054-334-8855,자동차부품(브라켓),2939,538,35.87832046,128.87433520
317,영천도남농공단지,(주)정산,김성○,경상북도 영천시 도남동 207-1번지,29241,건설 및 채광용 기계장비 제조업,,"건설중장비부품(프레임,버켓 등)",9038.8,6419.25,35.92622505,128.93763750
318,,(주)정신티앤씨,조정○,경상북도 영천시 화남면 안천리 459번지 외 3필지,20203,혼성 및 재생 플라스틱 소재 물질 제조업,,플라스틱착색제,5280,1970,36.08291306,128.89864896
319,,(주)정우,정혜○,경상북도 영천시 금호읍 오계리 47-15,30320,자동차 차체용 신품 부품 제조업,054-745-6050,자동차용 머플러 및 자동차 가공용부품,2969,1110.9,35.91523970,128.88902652
320,,(주)정우산업,최종○,경상북도 영천시 도남동  421번지,29241,건설 및 채광용 기계장비 제조업,054-333-7201,"포크레인 링스포트, 하부프레임",6701,3647.45,35.93156386,128.93544709
321,,(주)정우통상,김수○,경상북도 영천시 임고면 효리 1041-3번지,13213,화학섬유직물 직조업,054-0336-0059,폴리.스판텍스,1323,906.99,36.02909852,128.99921490
322,,(주)정우화학,김종○,경상북도 영천시 채신동 128 외 1필지,20129,기타 기초 무기 화학물질 제조업,054-338-6636,9% 암모니아수,2888,798.38,35.90423129,128.95495548
323,,(주)정원레미콘,최병○,경상북도 영천시 고경면 삼산리 166-2번지,23322,레미콘 제조업,054-338-5500,레미콘,19835,2102.59,35.99584124,129.09289819
324,,(주)정하이텍,정창○,경상북도 영천시 대창면 사리리 319번지 외 1필지,25942,그 외 금속파스너 및 나사제품 제조업,054-336-5401,와셔,5291,1969.75,35.87886727,128.87633798
325,,(주)정헌,김명○,경상북도 영천시 완산동 367,29150,"산업용 오븐, 노 및 노용 버너 제조업 외 1 종",070-8666-0583,태양열집열기 히트펌프,2867,1217.75,35.95878662,128.95048439
326,,(주)제이.엔.피,윤만○,경상북도 영천시 대창면 사리리 산 69-1번지 외 1필지,13219,특수 직물 및 기타 직물 직조업 외 2 종,054-335-6856,필름.타포린직물,11719,3156.7,,
327,,(주)제이더블유바이오,박영○,경상북도 영천시 화산면 연계리 337번지,20423,화장품 제조업,053-427-1201,화장품(헤어토닉),6236,1307.7,36.02046580,128.84161508
328,,(주)제이앤피제2공장,윤만○,경상북도 영천시 대창면 사리리 669-1번지,13219,특수 직물 및 기타 직물 직조업 외 2 종,054-335-6856,"필림,타보린,직물",2119,1088.86,35.87508704,128.86239696
329,,(주)제이엘,"정인○,이준○",경상북도 영천시 신기동 185-6,20203,혼성 및 재생 플라스틱 소재 물질 제조업,054-336-0312,합성수지 CHIP,3042,1404.76,35.99619875,128.95696961
330,,(주)제이엘디,이소○,경상북도 영천시 금노동 398-1 GNC경북천연염색 산업연구원,10309,기타 과실ㆍ채소 가공 및 저장 처리업,,건조 과실 및 채소,,53.2,35.95487637,128.93070448
331,,(주)제이엠,문태○,경상북도 영천시 대창면 사리리 448-6,30331,자동차용 신품 동력전달장치 제조업,054-706-7787,기어류(오토미션용),5626,2307.07,35.88256376,128.87307002
332,,(주)제이티에스,이승○,경상북도 영천시 임고면 매호리 862-2,23129,기타 산업용 유리제품 제조업 외 1 종,054-336-9551,산업용 보온단열재 및 자동차부품용 단열재,17244,7351.15,36.00479209,128.96324968
333,,(주)제이티엠,정의○,경상북도 영천시 청통면 송천리 9-5,13104,연사 및 가공사 제조업,,폴리에스터장섬유 분사 및 가공사,4447,2822.75,35.96557810,128.82103500
334,,(주)제일윈도텍스,임정○,경상북도 영천시 대창면 사리리 490-1번지,13223,커튼 및 유사제품 제조업,054-331-5407,"버티칼,롤스크린",5181,2190.87,35.88223185,128.87135684
335,,(주)젬마클린텍,이우○,경상북도 영천시 고경면 삼포리 795번지,31113,기타 선박 건조업 외 1 종,054-337-4001,"물에뜨는 구조물, 부표, 기타직물 제조업",10651,2935.59,36.00804350,129.10001680
336,,(주)조은글라스,"정용○,김재○",경상북도 영천시 고경면 도암리 506-9번지 외 14필지,23112,안전유리 제조업 외 1 종,054-331-8042,판유리가공품(복층유리),27782,9022.16,35.99454769,129.00510458
337,,(주)조일시스템,김종○,경상북도 영천시 대창면 사리리 208-3번지 외 1필지,22223,플라스틱 창호 제조업,053-856-8433,플라스틱 창호,17961,6675.469,35.87502755,128.87752812
338,,(주)주연에프앤피,하동○,경상북도 영천시 대창면 사리리 687,17212,골판지 상자 및 가공제품 제조업 외 1 종,,"수출용 종이박스, 철재파렛트",,2366.2,35.87461556,128.86431428
339,,(주)지에스탑,이상○,경상북도 영천시 고경면 덕암리 4 외 3필지,13994,표면처리 및 적층 직물 제조업,053-614-8500,천막지,4657,1473.42,35.99356654,129.08708677
340,,(주)지엔에스,이구○,경상북도 영천시 채신동 629-5번지,20422,"치약, 비누 및 기타 세제 제조업",054-336-3262,"주방세제, 락스",1837,1397.25,35.91113484,128.94969043
341,,(주)지원에스아이,정연○,경상북도 영천시 작산동 206-5번지,29241,건설 및 채광용 기계장비 제조업,054-333-8800,중장비 하부기능품,6788,1816.75,35.94098987,128.95193841
342,,(주)지케이산업,최민○,경상북도 영천시 고경면 용전리 454번지,22222,설치용 및 위생용 플라스틱제품 제조업,054-333-3989,FRP오수처리시설,9917,4556.92,35.98801969,129.00900929
343,,(주)진보,고유○,경상북도 영천시 임고면 금대리 269-1 외 2필지,20499,그 외 기타 분류 안된 화학제품 제조업 외 1 종,,난연재(화재방지용),17300,2086.15,36.04527805,129.03340203
344,,(주)진성테크,김진○,경상북도 영천시 채신동 656-11번지,25113,육상 금속 골조 구조재 제조업 외 1 종,054-338-8061,전기자재(외선금구류),,495,35.90572528,128.95129072
345,,(주)진일산업,현진○,경상북도 영천시 대창면 강회리 513-10,16211,"박판, 합판 및 유사 적층판 제조업",054-335-4266,합판,4975,1636.52,35.89156013,128.88115420
346,,(주)진현식품,허시○,경상북도 영천시 북안면 고지리 476-1,10220,수산식물 가공 및 저장 처리업,054-331-3000,조미김,9763,4863.23,35.91670790,129.01242103
347,,(주)진현식품,허진○,경상북도 영천시 금노동 378-1번지,10220,수산식물 가공 및 저장 처리업,054-0331-3000,"김, 미역",1042,1156.6,35.95426616,128.93153204
348,,(주)진흥,권○,경상북도 영천시 금노동 608-14번지,16101,일반 제재업,054-333-5000,"목재,파레트",602,202.91,35.95844904,128.93201815
349,,(주)창언이엔지,박인○,경상북도 영천시 청통면 신학리 631-6번지,29163,컨베이어장치 제조업 외 2 종,054-334-9000,"컨베이어,협잡물처리기 등",1753,566,35.99347533,128.82310816
350,,(주)천수테크,박일○,경상북도 영천시 채신동 산 51-9번지 외 1필지,30399,그 외 자동차용 신품 부품 제조업 외 3 종,054-336-0889,고무성형부품,3945,3080,35.90497205,128.95048953
351,,(주)천지기공,김해○,경상북도 영천시 오수동 242 외 2필지,25999,그 외 기타 분류 안된 금속 가공 제품 제조업,054-337-9139,금속파레트,2798,1544,35.95596702,128.91784074
352,,(주)천호,김태○,경상북도 영천시 청통면 신덕리 468,25113,육상 금속 골조 구조재 제조업,054-337-3314,철구조물,4702,1070,35.97930871,128.86353483
353,,(주)청마루,임대○,경상북도 영천시 대창면 사리리 52-14번지,25112,구조용 금속 판제품 및 공작물 제조업 외 2 종,053-215-5000,"정자,벤치,목교,디자인울타리",6330,1253.88,35.88441504,128.87583458
354,영천도남농공단지,(주)청아냉동식품,정광○,경상북도 영천시 봉동 594번지,10602,빵류 제조업 외 9 종,054-0335-6432,"빵류, 육류 포장육 및 냉동육 , 육류 기타 가공 및 저장, 김치류, 과실 및 그 외 채소 절임 식품, 기타 과실 및 채소 가공 및 저장, 떡류, 도시락류, 기타 식사용 가공처리 조리식품, 두부류",13971.2,13575.13,35.93078424,128.94627665
355,,(주)청운,이수○,경상북도 영천시 고경면 동도리 80,25944,금속선 가공제품 제조업 외 1 종,,"철망, 돌망태, 강섬유 외",3191,1455,35.99884845,129.05772221
356,,(주)청화섬유,권순○,경상북도 영천시 금호읍 신월리 220-2번지 외 1필지,13104,연사 및 가공사 제조업,054-0331-8533,화섬사,6431,3964.79,35.93944148,128.89811590
357,,(주)체리푸드,장상○,경상북도 영천시 금호읍 오계리 9-0 외 2필지,10121,가금류 가공 및 저장 처리업 외 19 종,054-331-9171,"육가공제품,소스류,당면,뽁은참깨,멸치조림,시리얼 등",19578,11541.53,35.91946015,128.88592348
358,,(주)초원조경개발공사,박기○,경상북도 영천시 대창면 운천리 585번지,16229,기타 건축용 나무제품 제조업 외 3 종,054-336-6120,"퍼걸러,정자,파고라체육시설물,시소제조",4956,2159.24,35.86592903,128.95057053
359,,(주)케이씨피드,정한○,경상북도 영천시 금호읍 신월리 230-1번지,10901,반려동물용 사료 제조업 외 2 종,054-0332-6514,배합사료,22233,8378.79,35.93874617,128.89520520
360,,(주)케이앤지스틸지점,최갑○,경상북도 영천시 금호읍 남성리 142-1번지 외 2필지,24191,"도금, 착색 및 기타 표면처리강재 제조업",054-336-4800,폴리에틸렌피복강관,15346,7387.15,35.89124888,128.87826370
361,,(주)케이에스글러브,조두○,경상북도 영천시 대전동  596-3번지,13999,그 외 기타 분류 안된 섬유제품 제조업,054-331-1256,장갑제조,1608,974.2,35.98025004,128.91092491
362,,(주)케이에이치,안도○,경상북도 영천시 청통면 송천리 642-5번지,24123,철강선 제조업 외 2 종,054-338-9600,"금속스프링, 와샤, 철선제조",4380,1932.75,35.98098593,128.81322898
363,,(주)케이엠,신정○,경상북도 영천시 신기동 282번지 외 1필지,13219,특수 직물 및 기타 직물 직조업,,고밀도메쉬원단,16155,7257.68,35.99057913,128.95764415
364,,(주)케이피씨,안장○,경상북도 영천시 고경면 상리리 625번지,29133,"탭, 밸브 및 유사장치 제조업",053-862-4839,밸브,6700,1191.06,36.00455925,129.02694703
365,,(주)케이피씨뉴매틱,우지○,경상북도 영천시 대창면 사리리 594,22211,"플라스틱 선, 봉, 관 및 호스 제조업",054-331-1801,폴리우레탄 호스,3274,1505.61,35.87883315,128.86871944
366,영천도남농공단지,(주)코람,박상○,경상북도 영천시 도남동 199번지,25941,볼트 및 너트류 제조업 외 2 종,054-335-1881,나사제품,7570.1,5055.42,35.92853503,128.93938999
367,,(주)코리아뉴매틱,이규○,경상북도 영천시 대창면 구지리 190-3 번지,22192,산업용 그 외 비경화 고무제품 제조업,054-331-1812,폴리우레탄 호스,1675,982,35.86875600,128.89082566
368,,(주)크리오디엔에스,계동○,경상북도 영천시 고경면 덕암리 15-2번지,20422,"치약, 비누 및 기타 세제 제조업",054-338-0901,"각종비누 및 분말,액상 합성세제 및 세정제",4313,1948.91,35.99115453,129.08701173
369,,(주)크린테크,서정○,경상북도 영천시 금호읍 남성리 515-1 대구대학교 창업보육센터 2호관 1203호,29176,액체 여과기 제조업,053-857-5705,수처리장치,,49.338,35.90181220,128.85653977
370,,(주)큰바위콘크리트,김정○,경상북도 영천시 고경면 덕암리 129-2번지 외 3필지,23324,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",054-334-4054,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",27148,1961.62,35.98951686,129.09508954
371,,(주)키프코,김성○,경상북도 영천시 청통면 신학리 7번지,29242,광물처리 및 취급장비 제조업,054-331-0482,산업기계,3252,1183,35.99664053,128.83193135
372,,(주)태광금속,유영○,경상북도 영천시 금호읍 오계리 492번지 외 5필지,25912,금속 단조제품 제조업 외 4 종,054-337-8811,단조제품,7233,1263.4,,
373,,(주)태극인농업회사법인,김상○,경상북도 영천시 화산면 당곡리 20-1번지,21220,한의약품 제조업,054-336-2895,한의약조제품,2277,490,36.01482424,128.87080603
374,,(주)태산,허광○,경상북도 영천시 신녕면 완전리 700-7번지,10513,곡물 혼합분말 및 반죽 제조업 외 2 종,054-332-3003,"혼합조제분말(팥앙금,떡,빵), 혼합조제분말(팥앙금,떡,빵), 혼합조제분말(팥앙금,떡,빵)",7660,3652.82,36.03850352,128.79518496
375,,(주)태성에스텍지점,김태○,경상북도 영천시 금호읍 남성리 716,25113,육상 금속 골조 구조재 제조업,053-721-7815,"철재비계, 작업발판",10916.5,1836,35.89020113,128.87312213
376,,(주)태성포장,양태○,경상북도 영천시 고경면 대의리 187-1번지 외 3필지,17212,골판지 상자 및 가공제품 제조업,054-335-8012,골판지 박스,3692,1554.51,35.96563676,128.99206533
377,,(주)태영산업,김성○,경상북도 영천시 북안면 송포리 874-1번지,29176,액체 여과기 제조업 외 1 종,054-0336-0171,"필터프레스, 여과판, 필터프레스, 여과판",2617,1219.2,35.93077733,128.97827485
378,,(주)태영필트레이션시스템,김성○,경상북도 영천시 북안면 유하리 127-1번지 외 1필지,29199,그 외 기타 일반목적용 기계 제조업 외 2 종,054-726-2103,필터프레스,5436,2234.1,35.93088003,128.97760052
379,,(주)태우산업,김병○,경상북도 영천시 청통면 우천리 997-11번지 외 2필지,25913,자동차용 금속 압형제품 제조업 외 1 종,054-338-9454,철판,6998,2468.31,35.98928484,128.86248732
380,,(주)태융산업,김수○,경상북도 영천시 고경면 대의리 152-13번지,22241,운송장비 조립용 플라스틱제품 제조업,,자동차 부품,5707,2225.18,35.96777960,128.99470609
381,,(주)토리아,조재○,경상북도 영천시 대창면 사리리 595-11,25119,기타 구조용 금속제품 제조업 외 1 종,053-853-3933,"이동식화장실, 이동식초소, 컨테이너하우스, 트레일러 화장실",3443,486.66,35.87865551,128.86979329
382,,(주)토탈그린,권오○,경상북도 영천시 임고면 효리 1041-6번지,20312,복합비료 및 기타 화학비료 제조업 외 5 종,054-332-1147,세라믹볼,3144,1636.02,36.02865633,128.99910907
383,,(주)투엠모터스,성유○,경상북도 영천시 북안면 임포리 48-3번지,30332,자동차용 신품 전기장치 제조업 외 16 종,054-338-0211,"자동차용모터,유압기기시험기,항공기부품",4681,2172.66,35.92183364,129.00971034
384,,(주)트리엔,이춘○,경상북도 영천시 고경면 오류리 658-3,29141,구름베어링 제조업 외 1 종,,"에어베어링,특수베어링,FDP제조용기계제조,평판디스르레이조립용기계",11124,989.45,35.96353059,129.01495212
385,,(주)티앤비,김영○,경상북도 영천시 대창면 강회리 446-1번지,16229,기타 건축용 나무제품 제조업 외 1 종,054-334-3336,"화장실 벽패널, 칸막이, 알루미늄 박판, 몰딩",1098,411.96,35.89715672,128.88438413
386,,(주)티에스더블유,황성○,경상북도 영천시 화남면 삼창리 661-1,32099,그 외 기타 가구 제조업,,사무용 의자 부폼,10339,2289.42,36.07634773,128.89154722
387,,(주)티엔케이푸드,서예○,경상북도 영천시 대창면 대창리 65,10121,가금류 가공 및 저장 처리업 외 1 종,,"소세지,햄, 양념육",1996,951.06,35.88719966,128.88930149
388,,(주)티케이텍,엄미○,경상북도 영천시 청통면 신학리 631-8,22211,"플라스틱 선, 봉, 관 및 호스 제조업",054-335-0318,합성수지전선관,2712,1062.4,35.99275711,128.82395893
389,,(주)팔미스메탈,곽경○,경상북도 영천시 채신동 136번지,30399,그 외 자동차용 신품 부품 제조업 외 3 종,054-337-7787,자동차부품,995,459,35.90449734,128.95463874
390,,(주)팔미스메탈제2공장,곽경○,경상북도 영천시 채신동 129번지,25912,금속 단조제품 제조업,054-337-7787,건설용 부품(비계 부속품),6834,1694.64,35.90520475,128.95540863
391,,(주)팜텍21,황형○,경상북도 영천시 청통면 대평리 673-1번지,20312,복합비료 및 기타 화학비료 제조업 외 1 종,053-850-3756,비료제품,201.48,201.48,35.96511038,128.86315162
392,,(주)폴머,박봉○,경상북도 영천시 도남동 165번지 외 2필지,20493,접착제 및 젤라틴 제조업,054-336-5843,하드셀(난연재),2247,782.72,35.93089193,128.93793528
393,,(주)풀내음,윤귀○,경상북도 영천시 대창면 병암리 392번지,10820,"면류, 마카로니 및 유사식품 제조업 외 2 종",054-331-0300,곤약무초,3012,912,35.89076608,128.90061345
394,,(주)풍산금속,"조선○,김흥○",경상북도 영천시 대창면 사리리 424-2번지,24312,강주물 주조업,054-331-8293,멘홀뚜껑,1707,915.69,35.88275827,128.87507181
395,,(주)퓨어마인드,이형○,경상북도 영천시 완산동 476 외 6필지,10899,그 외 기타 식료품 제조업 외 1 종,054-337-6550,"건강식품 원료 1차가공,식료품제조, 곡물제분",5101,1976.59,35.96074154,128.95061604
396,,(주)퓨어마인드컴퍼니,이형○,경상북도 영천시 완산동 499-1번지,10896,건강보조용 액화식품 제조업,054-333-6550,숙취해소음료,1020,390,35.96365291,128.95200074
397,,(주)프렌즈도어,김선○,경상북도 영천시 금호읍 대곡리 731-3번지,22223,플라스틱 창호 제조업 외 3 종,054-700-9398,창호 및 문,5003,629.77,35.89144956,128.91683113
398,,(주)플라넷정보통신,권혁○,경상북도 영천시 대전동 84-1번지,26421,방송장비 제조업,054-332-3345,CCTV,621,191.8,35.99046088,128.91701959
399,,(주)피에스코리아,김미○,경상북도 영천시 북안면 반정리 453번지 외 1필지,38321,비금속류 해체 및 선별업 외 1 종,054-331-5780,"액자, 물딩재료",3835,1040,35.93162187,128.99531855
400,,(주)피제이산업영천지점,박희○,경상북도 영천시 도남동 409번지 외 2필지,20119,기타 기초 유기화학 물질 제조업 외 1 종,054-336-2290,"INP,NMP,폐이트희석제",3923,1017.94,35.93243570,128.93661929
401,,(주)피케이테크,강병○,경상북도 영천시 대창면 강회리 476번지,13992,부직포 및 펠트 제조업,054-0335-2931,부직포,1940,1108.84,35.89818062,128.88526992
402,,(주)하나그린폴,박순○,경상북도 영천시 화남면 귀호리 529번지 외 1필지,22299,그 외 기타 플라스틱 제품 제조업,054-338-9050,인조잔디,7021,3274.97,36.05447568,128.87727559
403,,(주)하나기업,정대○,경상북도 영천시 완산동 1153-18번지,25929,그 외 기타 금속가공업,054-331-5500,"간판틀, 철재휀스",1156,280.85,35.95720517,128.94059288
404,,(주)하나기업2공장,정대○,경상북도 영천시 완산동 1153-46번지,25929,그 외 기타 금속가공업,054-331-5500,"간판틀, 철재휀스",768,151.95,35.95677754,128.94043854
405,,(주)하이테크창신,장갑○,경상북도 영천시 금호읍 원기리 413-1번지,22211,"플라스틱 선, 봉, 관 및 호스 제조업",054-331-8758,배관연결구,1286,486.78,35.90709627,128.88324120
406,,(주)한결테크닉스,김준○,경상북도 영천시 완산동 1179번지 외 2필지,25929,그 외 기타 금속가공업 외 4 종,054-335-3327,"지하수 양수파이프 및 연결구, 관정공사 관련제품",3114,494.25,35.95783870,128.94709086
407,,(주)한국기계,백성○,경상북도 영천시 청통면 신학리 538-12번지,29210,농업 및 임업용 기계 제조업,054-333-7806,농업용자동화기계(마늘건조기 등),1650,493.5,35.99604607,128.82396450
408,,(주)한국기업,김미○,경상북도 영천시 대창면 사리리 213-1번지 외 4필지,25112,구조용 금속 판제품 및 공작물 제조업 외 3 종,053-856-1835,"물탱크, 이동식화장실, 조립식구조물, 물탱크, 이동식화장실, 조립식구조물, 물탱크, 이동식화장실, 조립식구조물, 물탱크, 이동식화장실, 조립식구조물",5127,1954.07,35.87536350,128.87476770
409,,(주)한남제1공장,이만○,경상북도 영천시 망정동  8-3번지,13300,편조원단 제조업,054-332-9700,고기능성 니트 원단,8851,4858.53,35.98747878,128.95833725
